type_id,name,daily_upd,daily_creat,update_pct
46426,Sin Kopis Edge SKIN,   42.88,    0.00, 100.00
53626,Legion Oasis of Faith SKIN,   16.38,    0.13,  99.24
3550,CONCORD Dual 1000mm Railgun,   17.38,    0.25,  98.58
31678,Capital Projectile Burst Aerator II,   20.88,    0.38,  98.24
63061,Women's 'Semiotique Superluminal' Shades,   20.63,    0.38,  98.21
85489,Glorified Unstable Damage Control Mutaplasmid,   24.75,    0.50,  98.02
3113,Eifyr and Co. 'Rogue' High Speed Maneuvering HS-904,   17.25,    0.38,  97.87
87572,"Women's ""Crisis Breaker"" Drifter Plugsuit",   38.88,    0.88,  97.80
45745,Men's 'Farsight' Augmented Spectacles,   19.13,    0.50,  97.45
89784,Sealed Projects Container,   35.25,    1.13,  96.91
26358,Large Ionic Field Projector II,   38.50,    1.25,  96.86
32853,"SPZ-3 ""Torch"" Laser Sight Combat Ocular Enhancer (right/black)",   25.50,    0.88,  96.68
80908,Executioner Arkombine Arisen SKIN,   37.88,    1.50,  96.19
4401,Large Processor Overclocking Unit II,   18.63,    0.75,  96.13
46522,Nestor Spectral Shift SKIN,   18.25,    0.75,  96.05
26360,Large Particle Dispersion Projector II,   51.50,    2.13,  96.04
81119,Phoenix Navy Issue Arkombine Arisen SKIN,   20.75,    0.88,  95.95
21491,Synthetic Hull Conversion Overdrive Injector,   20.38,    0.88,  95.88
54537,Black Market 'Valdimar' Drone Sharpshooting DS-801,   31.00,    1.38,  95.75
31294,Medium Particle Dispersion Augmentor II,   56.00,    2.63,  95.52
3958,"GDN-9 ""Nightstalker"" Combat Goggles",   16.00,    0.75,  95.52
90315,Confessor Sanguinary Savant SKIN,   15.63,    0.75,  95.42
92569,Crystalline Raspite,   35.63,    1.75,  95.32
20539,XL Torpedo Launcher I,   36.63,    1.88,  95.13
3266,Zainou 'Gypsy' CPU Management EE-604,   46.13,    2.38,  95.10
19353,Gist A-Type 500MN Microwarpdrive,   44.75,    2.38,  94.96
31826,Capital Core Defense Operational Solidifier II,   37.88,    2.13,  94.69
31654,Capital Warhead Rigor Catalyst II,   36.25,    2.13,  94.46
85478,Glorified Unstable 100MN Afterburner Mutaplasmid,   19.13,    1.13,  94.44
19042,Centus B-Type Large Armor Repairer,   35.25,    2.13,  94.31
95525,Dragoon Navy Issue Forever Creative SKIN,   27.50,    1.75,  94.02
47843,Unstable Medium Ancillary Armor Repairer Mutaplasmid,   25.50,    1.63,  94.01
92035,Arabellata SW-900-I,   58.63,    3.75,  93.99
15703,Republic Fleet Multispectrum Coating,   34.75,    2.25,  93.92
31642,Capital Warhead Flare Catalyst II,   19.13,    1.25,  93.87
95527,Talwar Fleet Issue Forever Creative SKIN,   28.38,    1.88,  93.80
3218,Harvester Mining Drone,   35.38,    2.38,  93.71
26286,Large EM Armor Reinforcer II,   35.13,    2.38,  93.67
19037,Core A-Type Large Armor Repairer,   23.75,    1.63,  93.60
28583,Capital Industrial Core I,   23.25,    1.63,  93.47
22931,'Distributor' Guidance Disruptor,   16.00,    1.13,  93.43
18909,Corpus B-Type Kinetic Armor Hardener,   28.38,    2.00,  93.42
81017,Burst Arkombine Arisen SKIN,   15.88,    1.13,  93.38
31306,Medium Particle Dispersion Projector II,   19.38,    1.38,  93.37
31027,Small Kinetic Armor Reinforcer II,   50.88,    3.63,  93.35
95526,Corax Navy Issue Forever Creative SKIN,   19.25,    1.38,  93.33
3475,Inherent Implants 'Noble' Mechanic MC-806,   20.50,    1.50,  93.18
91942,State Defense Booster III,   27.13,    2.00,  93.13
85549,Glorified Unstable X-Large Shield Booster Mutaplasmid,   33.88,    2.50,  93.13
60759,Drekavac Copper Lightning SKIN,   25.38,    1.88,  93.12
18668,Gist B-Type 100MN Afterburner,   32.00,    2.38,  93.09
23824,Medium 'Strigoi' Energy Nosferatu,   16.63,    1.25,  93.01
19317,Core C-Type 500MN Microwarpdrive,   56.25,    4.25,  92.98
26412,Large Warhead Flare Catalyst II,   46.00,    3.50,  92.93
23896,'Motte' Capacitor Power Relay I,   48.75,    3.75,  92.86
31604,Small Hydraulic Bay Thrusters II,  104.38,    8.13,  92.78
3981,Large Graviton Smartbomb I,   20.75,    1.63,  92.74
81010,Garmur Arkombine Arisen SKIN,   17.50,    1.38,  92.72
85654,Glorified Unstable Ballistic Control System Mutaplasmid,   41.13,    3.25,  92.68
31762,Capital Thermal Shield Reinforcer II,   38.88,    3.13,  92.56
23817,Medium 'Ditch' Energy Neutralizer,   23.25,    1.88,  92.54
26288,Large Explosive Armor Reinforcer II,   27.88,    2.25,  92.53
16213,Caldari Control Tower,   15.38,    1.25,  92.48
90417,Griffin Shattered Paradigm SKIN,   15.38,    1.25,  92.48
23809,'Harness' Medium Capacitor Booster I,   15.38,    1.25,  92.48
18953,Core C-Type Kinetic Armor Hardener,   30.13,    2.50,  92.34
52244,Veles Entropic Radiation Sink,   19.38,    1.63,  92.26
94054,Pontifex Mandate of Faith SKIN,   16.38,    1.38,  92.25
48744,'Subverted' JVN-UC49,   16.38,    1.38,  92.25
31113,Medium Auxiliary Thrusters II,   61.00,    5.13,  92.25
28746,Thukker Medium Shield Extender,   25.25,    2.13,  92.24
85481,Glorified Unstable 500MN Microwarpdrive Mutaplasmid,   26.63,    2.25,  92.21
25900,Large Remote Repair Augmentor I,   25.00,    2.13,  92.17
