sys_name,value_b,reg_name,regional_rank
Scheenins,2,Verge Vendor,14
Vuorrassi,2,Lonetrek,17
Lari,2,Tash-Murkon,7
Rumida,2,Tash-Murkon,8
Soshin,2,The Forge,8
Dihra,2,Devoid,7
Venilen,2,The Citadel,21
Itamo,1.9,The Forge,9
Onazel,1.9,Tash-Murkon,9
Uminas,1.9,The Forge,10
Bereye,1.9,Everyshore,11
Ekura,1.9,Lonetrek,18
Umokka,1.9,Lonetrek,19
Mies,1.9,Essence,13
Aydoteaux,1.9,Everyshore,12
Shemah,1.8,Kador,10
Illuin,1.8,Metropolis,11
Abagawa,1.8,The Forge,11
Samanuni,1.8,Black Rise,3
Kehour,1.8,Domain,8
Eram,1.8,Metropolis,12
Gergish,1.8,Genesis,12
Uedama,1.7,The Citadel,22
Gosalav,1.7,Domain,9
Leva,1.7,Kor-Azor,7
Aakari,1.7,Lonetrek,20
Alillere,1.7,Sinq Laison,12
Suner,1.7,Kador,11
Clacille,1.7,Verge Vendor,15
Oerse,1.7,Solitude,5
Kador Prime,1.7,Kador,12
Aband,1.6,Kador,13
Diaderi,1.6,Genesis,13
Warouh,1.6,Domain,10
Badivefi,1.6,Khanid,6
Ardallabier,1.6,Everyshore,13
Leremblompes,1.6,Everyshore,14
Bongveber,1.6,Metropolis,13
Isanamo,1.6,Lonetrek,21
Oisio,1.6,The Citadel,23
Orduin,1.6,Metropolis,14
Sirppala,1.5,The Citadel,24
Scuelazyns,1.5,Everyshore,15
Ansila,1.5,The Forge,12
Kasrasi,1.5,Derelik,5
Iderion,1.5,Genesis,14
Hadaugago,1.4,Heimatar,9
Slays,1.4,Placid,5
Algasienan,1.4,Placid,6
Manatirid,1.4,Genesis,15
Hjoramold,1.4,Metropolis,15
Vaere,1.4,Verge Vendor,16
Nikh,1.4,Derelik,6
Gamdis,1.4,Kador,14
Haatomo,1.4,The Citadel,25
Niballe,1.4,Solitude,6
Oipo,1.4,Lonetrek,22
Urlen,1.4,The Forge,13
Ebo,1.4,Domain,11
Ohide,1.4,Devoid,8
Dammalin,1.4,Heimatar,10
Ikao,1.4,The Citadel,26
Altrinur,1.3,Metropolis,16
Penirgman,1.3,Domain,12
Koona,1.3,Kador,15
Harerget,1.3,Everyshore,16
Isenairos,1.3,The Citadel,27
Illinfrik,1.3,Heimatar,11
Dunraelare,1.3,Sinq Laison,13
Auvergne,1.3,Sinq Laison,14
Motsu,1.3,The Citadel,28
Lower Debyl,1.3,Devoid,9
Hikansog,1.2,Kador,16
Gelhan,1.2,Derelik,7
Madirmilire,1.2,Domain,13
Brapelille,1.2,Sinq Laison,15
Amsen,1.2,Lonetrek,23
Hodrold,1.2,Metropolis,17
Mattere,1.2,Everyshore,17
Malma,1.2,Genesis,16
Akonoinen,1.2,Lonetrek,24
Eletta,1.2,Verge Vendor,17
Akeva,1.2,Derelik,8
Ainaille,1.2,Sinq Laison,16
Abudban,1.2,Heimatar,12
Kulelen,1.2,The Citadel,29
Ono,1.1,The Citadel,30
Baviasi,1.1,Tash-Murkon,10
Lenity,1.1,Exordium,2
Carirgnottin,1.1,Everyshore,18
Assiettes,1.1,Sinq Laison,17
Agal,1.1,Genesis,17
Paara,1.1,The Citadel,31
Dantan,1.1,Kador,17
Gekutami,1.1,The Forge,14
Yuhelia,1.1,Domain,14
Hogimo,1.1,The Citadel,32
Sasiekko,1.1,The Bleak Lands,5
Zoohen,1.1,Genesis,18
Emolgranlan,1,Heimatar,13
Zinkon,1,Kor-Azor,8
Mesybier,1,Essence,14
Tongofur,1,Heimatar,14
Odette,1,Sinq Laison,18
New Caldari,1,The Forge,15
Narai,1,Domain,15
Hostakoh,1,Kador,18
