type_id,name,daily_upd,daily_creat,update_pct
46426,Sin Kopis Edge SKIN,   32.50,    0.00, 100.00
31500,Capital Energy Metastasis Adjuster II,   17.88,    0.13,  99.31
85489,Glorified Unstable Damage Control Mutaplasmid,   17.38,    0.25,  98.58
26352,Large Particle Dispersion Augmentor II,   25.00,    0.50,  98.04
32039,Medium Drone Durability Enhancer II,   34.50,    1.00,  97.18
53626,Legion Oasis of Faith SKIN,   16.00,    0.50,  96.97
26358,Large Ionic Field Projector II,   41.88,    1.38,  96.82
26286,Large EM Armor Reinforcer II,   37.25,    1.38,  96.44
25900,Large Remote Repair Augmentor I,   29.75,    1.13,  96.36
19721,Revelation Blueprint,   16.50,    0.63,  96.35
41465,Capital Solace Scoped Remote Armor Repairer,   17.75,    0.75,  95.95
4401,Large Processor Overclocking Unit II,   26.50,    1.13,  95.93
85454,Glorified Unstable Large Armor Plate Mutaplasmid,   17.63,    0.75,  95.92
91928,State Electronics Booster III,   20.38,    0.88,  95.88
26382,Large Energy Collision Accelerator II,   15.88,    0.75,  95.49
31019,Capital Explosive Armor Reinforcer II,   17.63,    0.88,  95.27
31306,Medium Particle Dispersion Projector II,   49.38,    2.50,  95.18
26360,Large Particle Dispersion Projector II,   37.63,    2.00,  94.95
81015,Exequror Navy Issue Arkombine Arisen SKIN,   34.88,    1.88,  94.90
18690,Core B-Type 100MN Afterburner,   27.75,    1.50,  94.87
26288,Large Explosive Armor Reinforcer II,   90.88,    5.13,  94.66
31197,Medium Warp Core Optimizer II,   19.88,    1.13,  94.64
46024,Tengu Nightfire SKIN,   18.88,    1.13,  94.38
26304,Large Cargohold Optimization II,   51.88,    3.13,  94.32
3266,Zainou 'Gypsy' CPU Management EE-604,   37.25,    2.25,  94.30
91943,Federation Defense Booster III,   18.38,    1.13,  94.23
32075,Medium Drone Scope Chip II,   16.13,    1.00,  94.16
31294,Medium Particle Dispersion Augmentor II,   56.00,    3.50,  94.12
26418,Large Rocket Fuel Cache Partition II,   18.00,    1.13,  94.12
26328,Large Drone Mining Augmentor II,   45.38,    2.88,  94.04
28740,Thukker Micro Auxiliary Power Core,   15.38,    1.00,  93.89
19263,Gist C-Type EM Shield Hardener,   30.63,    2.00,  93.87
26412,Large Warhead Flare Catalyst II,   52.25,    3.50,  93.72
85457,Glorified Unstable Large Armor Repairer Mutaplasmid,   23.63,    1.63,  93.56
23785,'Bailey' 1600mm Steel Plates,   39.63,    2.75,  93.51
28805,Mid-grade Harvest Epsilon,   16.13,    1.13,  93.48
31282,Medium Ionic Field Projector II,   55.50,    3.88,  93.47
31654,Capital Warhead Rigor Catalyst II,   39.13,    2.75,  93.43
31079,Medium Remote Repair Augmentor II,   58.75,    4.25,  93.25
13827,True Sansha Heavy Beam Laser,   35.63,    2.63,  93.14
26326,Large Drone Durability Enhancer II,   23.63,    1.75,  93.10
25890,Large Kinetic Armor Reinforcer I,   33.13,    2.50,  92.98
26394,Large Hybrid Burst Aerator II,   17.63,    1.38,  92.76
32047,Medium Drone Mining Augmentor II,   33.63,    2.63,  92.76
26294,Large Auxiliary Nano Pump II,   19.75,    1.63,  92.40
31462,Medium Energy Collision Accelerator II,   25.75,    2.13,  92.38
85465,Glorified Unstable 1MN Afterburner Mutaplasmid,   21.00,    1.75,  92.31
91924,Republic Electronics Booster III,   15.00,    1.25,  92.31
60759,Drekavac Copper Lightning SKIN,   16.38,    1.38,  92.25
26388,Large Energy Locus Coordinator II,   17.75,    1.50,  92.21
85478,Glorified Unstable 100MN Afterburner Mutaplasmid,   17.63,    1.50,  92.16
47544,Apotheosis Versus Redforce SKIN,   16.13,    1.38,  92.14
92038,Tabanida EV-900-I,   36.50,    3.13,  92.11
23896,'Motte' Capacitor Power Relay I,   32.50,    2.88,  91.87
89669,Punisher Khanid Cyber Knight SKIN,   25.38,    2.25,  91.86
26416,Large Hydraulic Bay Thrusters II,   44.75,    4.00,  91.79
31642,Capital Warhead Flare Catalyst II,   20.38,    1.88,  91.57
26298,Large Remote Repair Augmentor II,   45.50,    4.25,  91.46
85846,Festive Iron Metallic - Limited,   94.75,    8.88,  91.44
85516,Glorified Unstable Large Cap Battery Mutaplasmid,   17.13,    1.63,  91.33
85932,Nidhoggur Arkombine Arisen SKIN,   28.63,    2.75,  91.24
26058,Large Low Friction Nozzle Joints I,   23.38,    2.25,  91.22
18953,Core C-Type Kinetic Armor Hardener,   32.38,    3.13,  91.20
91283,Hulk Refined Resourcer SKIN,   16.63,    1.63,  91.10
26290,Large Kinetic Armor Reinforcer II,   25.38,    2.50,  91.03
91977,Republic Hardpoint Booster III,   18.88,    1.88,  90.96
52226,Unstable Damage Control Mutaplasmid,   42.50,    4.25,  90.91
33904,Capital Transverse Bulkhead II,   57.63,    5.88,  90.75
40565,Tyrfing II,   18.13,    1.88,  90.63
25888,Large Explosive Armor Reinforcer I,   42.88,    4.50,  90.50
31502,Small Algid Hybrid Administrations Unit I,   37.75,    4.00,  90.42
91942,State Defense Booster III,   33.00,    3.50,  90.41
31027,Small Kinetic Armor Reinforcer II,   44.75,    4.75,  90.40
91930,Imperial Electronics Booster III,   18.75,    2.00,  90.36
52238,Zorya's Heavy Entropic Disintegrator,   25.63,    2.75,  90.31
20539,XL Torpedo Launcher I,   18.63,    2.00,  90.30
26452,Large Core Defense Operational Solidifier II,   19.75,    2.13,  90.29
40358,Equite I,   16.25,    1.75,  90.28
91923,Republic Electronics Booster II,   17.38,    1.88,  90.26
31163,Capital Hyperspatial Velocity Optimizer I,   24.13,    2.63,  90.19
63140,Industrial Jump Portal Generator I,   35.50,    3.88,  90.16
31091,Medium Salvage Tackle II,   43.88,    4.88,  90.00
25898,Large Nanobot Accelerator I,   24.50,    2.75,  89.91
23140,Yan Jung Plenary Wire,   16.63,    1.88,  89.86
31762,Capital Thermal Shield Reinforcer II,   40.75,    4.63,  89.81
85931,Chimera Arkombine Arisen SKIN,   35.00,    4.00,  89.74
92469,Torafugu TD-900-I,   15.25,    1.75,  89.71
26370,Large Ancillary Current Router II,   56.75,    6.63,  89.55
28583,Capital Industrial Core I,   20.25,    2.38,  89.50
91927,State Electronics Booster II,   29.50,    3.50,  89.39
31270,Medium Inverted Signal Field Projector II,   14.75,    1.75,  89.39
91932,Imperial Defense Booster I,   34.75,    4.13,  89.39
40552,Equite II,   31.75,    3.88,  89.12
15917,Republic Fleet EM Shield Amplifier,   26.63,    3.25,  89.12
89784,Sealed Projects Container,   19.38,    2.38,  89.08
85481,Glorified Unstable 500MN Microwarpdrive Mutaplasmid,   15.25,    1.88,  89.05
31380,Capital Capacitor Control Circuit II,   20.25,    2.50,  89.01
92037,Mosquito EV-600-I,   24.25,    3.00,  88.99
