sys_name,value_b,reg_name,regional_rank
Jita,15724.4,The Forge,1
Perimeter,11523.9,The Forge,2
Amarr,2856.8,Domain,1
Dodixie,920.4,Sinq Laison,1
Hek,799.2,Metropolis,1
Ashab,788.5,Domain,2
Botane,598.4,Sinq Laison,2
Rens,310.1,Heimatar,1
Sobaseki,282.9,Lonetrek,1
Frarn,205.9,Heimatar,2
Amo,86.6,Metropolis,2
Couster,85.4,Essence,1
Irjunen,75.6,The Citadel,1
Teonusude,65.4,Molden Heath,1
Onnamon,64.6,Black Rise,1
Eystur,57.5,Heimatar,3
Tash-Murkon Prime,56.6,Tash-Murkon,1
Kisogo,49.7,The Forge,3
Palas,46.1,Khanid,1
Sasta,42.3,Derelik,1
Villore,38.9,Essence,2
Renyn,37.2,Essence,3
Vylade,31.7,Sinq Laison,3
Tintoh,29.1,The Citadel,2
Alentene,27.4,Verge Vendor,1
Lisudeh,26.2,Devoid,1
Boystin,26.1,Solitude,1
Orvolle,25.7,Placid,1
Chaven,24.2,Domain,3
Merolles,24.1,Verge Vendor,2
Ryddinjorn,23.7,Metropolis,3
Eglennaert,22.2,Sinq Laison,4
Stacmon,20.2,Placid,2
Manifest,20,Exordium,1
Bourynes,19.8,Sinq Laison,5
Halaima,19.2,The Citadel,3
Algogille,18.3,Essence,4
Lanngisi,17.4,Metropolis,4
Sarum Prime,17,Domain,4
Ekuenbiron,16.9,Verge Vendor,3
Sortet,15.9,Verge Vendor,4
Ammold,15.8,Heimatar,4
Isaziwa,15.6,The Citadel,4
Sehmy,14.5,Kor-Azor,1
Hasiari,13.6,Derelik,2
Zororzih,13.6,Kador,1
Apanake,13.4,Genesis,1
Oursulaert,13.1,Essence,5
Pakhshi,12.9,Genesis,2
Gamis,12.6,Derelik,3
Kor-Azor Prime,12.2,Kor-Azor,2
Tar,11.8,Genesis,3
Traun,11.7,Metropolis,5
Akiainavas,11.6,Lonetrek,2
Intaki,10.9,Placid,3
Todaki,10.4,Lonetrek,3
Hayumtom,10.2,Domain,5
Aikoro,10.2,The Citadel,5
Uemisaisen,9.4,Lonetrek,4
Kamio,9.4,The Citadel,6
Emrayur,9.4,Tash-Murkon,2
Vay,9.3,Verge Vendor,5
Jufvitte,9.2,Verge Vendor,6
Agil,9.1,Khanid,2
Conoban,8.7,Kor-Azor,3
Azer,8.7,Everyshore,1
Nakugard,8.7,Metropolis,6
Manarq,8.5,Genesis,4
Cistuvaert,8.5,Verge Vendor,7
Nakri,8.2,Domain,6
Dresi,7.9,Kador,2
Clellinon,7.9,Verge Vendor,8
Yulai,7.9,Genesis,5
Hatakani,7.6,The Citadel,7
Hati,7.5,Devoid,2
Imya,7.4,Genesis,6
Duripant,7.3,Essence,6
Tunttaras,7.3,Lonetrek,5
Deepari,7.2,Domain,7
Amygnon,7.1,Verge Vendor,9
Actee,7,Essence,7
Osmeden,6.9,Placid,4
Ghesis,6.9,Kador,3
Odatrik,6.8,Heimatar,5
Kakakela,6.8,Lonetrek,6
Sarekuwa,6.8,Lonetrek,7
Mehatoor,6.7,Devoid,3
Ethernity,6.6,Everyshore,2
Sankkasen,6.5,The Citadel,8
Ordion,6.4,Kor-Azor,4
Esescama,6.2,Devoid,4
Arant,6.1,Essence,8
Muvolailen,6.1,The Citadel,9
Nahyeen,6,Kor-Azor,5
Uuhulanen,5.8,Black Rise,2
Aeddin,5.8,Molden Heath,2
Gererique,5.5,Solitude,2
Gelfiven,5.4,Molden Heath,3
Kuomi,5.4,The Bleak Lands,1
Arnon,5.3,Essence,9
Halle,5.2,Everyshore,3
Iyen-Oursta,5.1,Sinq Laison,6
Neyi,5.1,Khanid,3
Tarta,5.1,Genesis,7
Uitra,5.1,The Forge,4
Alenia,5,Verge Vendor,10
Octanneve,5,Solitude,3
Reset,5,Metropolis,7
Mora,5,Kor-Azor,6
Chanoun,4.9,Kador,4
Pimebeka,4.9,Tash-Murkon,3
Elonaya,4.8,Lonetrek,8
Vullat,4.8,Heimatar,6
Waira,4.8,The Citadel,10
Ourapheh,4.7,Genesis,8
Kusomonmon,4.7,The Citadel,11
Irgrus,4.6,Metropolis,8
Erkinen,4.6,The Bleak Lands,2
Kihtaled,4.5,Khanid,4
Romi,4.5,Kador,5
Deninard,4.3,Essence,10
Waskisen,4.3,The Citadel,12
Ardallabier,4.2,Everyshore,4
Tolle,4.2,Everyshore,5
Gulfonodi,4.1,Molden Heath,4
Cleyd,4.1,Genesis,9
Parses,4,Khanid,5
Yria,3.8,The Citadel,13
Ellmay,3.8,Verge Vendor,11
Airkio,3.7,Lonetrek,9
Simela,3.6,Genesis,10
Isikemi,3.6,Lonetrek,10
Jouvulen,3.6,Lonetrek,11
Piak,3.6,Lonetrek,12
Lirsautton,3.5,Everyshore,6
Berta,3.4,Derelik,4
Scolluzer,3.4,Verge Vendor,12
Pasha,3.4,Tash-Murkon,4
Tourier,3.3,Verge Vendor,13
Marosier,3.3,Everyshore,7
Hentogaira,3.2,The Forge,5
Aydoteaux,3.2,Everyshore,8
Aramachi,3.1,The Citadel,14
Ahynada,3.1,The Citadel,15
Jolevier,3.1,Essence,11
Jaschercis,3.1,Everyshore,9
Osmon,3.1,The Forge,6
Chelien,3,Sinq Laison,7
Oimmo,3,Lonetrek,13
Yrmori,3,Metropolis,9
Aclan,2.9,Everyshore,10
Krilmokenur,2.9,Heimatar,7
Athinard,2.8,Everyshore,11
Unkah,2.8,Tash-Murkon,5
Suroken,2.7,The Citadel,16
Eiluvodi,2.7,Metropolis,10
Lustrevik,2.7,Heimatar,8
Kothe,2.6,Kador,6
Annaro,2.6,The Citadel,17
Pochelympe,2.6,Solitude,4
Trossere,2.5,Sinq Laison,8
Vellaine,2.5,Lonetrek,14
Usi,2.5,The Citadel,18
Scheenins,2.4,Verge Vendor,14
Aphend,2.4,Kador,7
Mastakomon,2.4,The Forge,7
Onazel,2.4,Tash-Murkon,6
Vittenyn,2.4,Sinq Laison,9
Aporulie,2.4,Essence,12
Gheth,2.4,Devoid,5
Seil,2.3,Tash-Murkon,7
Ronne,2.3,The Bleak Lands,3
Dantan,2.3,Kador,8
Turba,2.3,Kador,9
Ambeke,2.3,Sinq Laison,10
Avada,2.2,Aridia,1
Brapelille,2.2,Sinq Laison,11
Eitu,2.2,The Citadel,19
Junsen,2.2,The Bleak Lands,4
Hadaugago,2.1,Heimatar,9
Nasreri,2.1,Genesis,11
Venilen,2.1,The Citadel,20
Itamo,2,The Forge,8
Vuorrassi,2,Lonetrek,15
Dihra,2,Devoid,6
Lari,2,Tash-Murkon,8
Soshin,2,The Forge,9
Ekura,2,Lonetrek,16
Aunia,2,Sinq Laison,12
Mies,2,Essence,13
Uminas,2,The Forge,10
Bereye,1.9,Everyshore,12
Illuin,1.9,Metropolis,11
Abagawa,1.8,The Forge,11
Kehour,1.8,Domain,8
Eram,1.8,Metropolis,12
Umokka,1.8,Lonetrek,17
Anyed,1.8,Genesis,12
Clacille,1.8,Verge Vendor,15
Gosalav,1.8,Domain,9
Badivefi,1.8,Khanid,6
Sirppala,1.7,The Citadel,21
Leremblompes,1.7,Everyshore,13
Suner,1.7,Kador,10
Alillere,1.7,Sinq Laison,13
Shemah,1.7,Kador,11
Isanamo,1.7,Lonetrek,18
Oerse,1.7,Solitude,5
Kador Prime,1.7,Kador,12
Scuelazyns,1.6,Everyshore,14
Penirgman,1.6,Domain,10
Gisleres,1.6,Verge Vendor,16
Diaderi,1.6,Genesis,13
Leva,1.6,Kor-Azor,7
Bongveber,1.6,Metropolis,13
Aband,1.6,Kador,13
Warouh,1.6,Domain,11
Urlen,1.6,The Forge,12
Gergish,1.6,Genesis,14
Orduin,1.6,Metropolis,14
Oipo,1.5,Lonetrek,19
Kasrasi,1.5,Derelik,5
Aakari,1.5,Lonetrek,20
Hjoramold,1.5,Metropolis,15
Iderion,1.5,Genesis,15
Evuldgenzo,1.4,Metropolis,16
Slays,1.4,Placid,5
Altrinur,1.4,Metropolis,17
Manatirid,1.4,Genesis,16
Jotenen,1.4,Lonetrek,21
Gamdis,1.4,Kador,14
Vaere,1.4,Verge Vendor,17
Oisio,1.4,The Citadel,22
Haatomo,1.4,The Citadel,23
Ohide,1.4,Devoid,7
Enedore,1.4,Everyshore,15
Hogimo,1.4,The Citadel,24
Nikh,1.4,Derelik,6
Niballe,1.4,Solitude,6
Dammalin,1.4,Heimatar,10
Ikao,1.4,The Citadel,25
Auvergne,1.3,Sinq Laison,14
Ebo,1.3,Domain,12
Kulelen,1.3,The Citadel,26
Amsen,1.3,Lonetrek,22
Harerget,1.3,Everyshore,16
Tvink,1.3,Metropolis,18
Dunraelare,1.3,Sinq Laison,15
Illinfrik,1.3,Heimatar,11
Lower Debyl,1.3,Devoid,8
Auviken,1.3,The Citadel,27
Madirmilire,1.3,Domain,13
Koona,1.3,Kador,15
Malma,1.2,Genesis,17
Hikansog,1.2,Kador,16
Ainaille,1.2,Sinq Laison,16
Mattere,1.2,Everyshore,17
Agal,1.2,Genesis,18
Eletta,1.2,Verge Vendor,18
Akonoinen,1.2,Lonetrek,23
Hodrold,1.2,Metropolis,19
Akeva,1.2,Derelik,7
Baviasi,1.2,Tash-Murkon,9
Carirgnottin,1.2,Everyshore,18
Lenity,1.2,Exordium,2
Ono,1.2,The Citadel,28
Samanuni,1.2,Black Rise,3
Motsu,1.1,The Citadel,29
Gekutami,1.1,The Forge,13
Uedama,1.1,The Citadel,30
Assiettes,1.1,Sinq Laison,17
Zoohen,1.1,Genesis,19
Saila,1.1,The Citadel,31
Abudban,1.1,Heimatar,12
Paara,1.1,The Citadel,32
Riavayed,1.1,Devoid,9
Odette,1.1,Sinq Laison,18
Outuni,1.1,The Forge,14
Charmerout,1.1,Essence,14
Yuhelia,1.1,Domain,14
Mesybier,1,Essence,15
Jarizza,1,Derelik,8
Tongofur,1,Heimatar,13
Zinkon,1,Kor-Azor,8
Tsuguwa,1,Lonetrek,24
Misneden,1,Sinq Laison,19
Gaha,1,Domain,15
Sasiekko,1,The Bleak Lands,5
Hostakoh,1,Kador,17
