period start,updates/m,creations/m,sales/m,deletions/m
2026-06-29 09:00:00+00,59.8000000000000000,44.6000000000000000,174.6000000000000000,44.2000000000000000
2026-06-29 09:05:00+00,49.6000000000000000,65.0000000000000000,186.6000000000000000,40.4000000000000000
2026-06-29 09:10:00+00,52.0000000000000000,52.0000000000000000,302.0000000000000000,47.4000000000000000
2026-06-29 09:15:00+00,62.4000000000000000,55.4000000000000000,43.0000000000000000,7.8000000000000000
2026-06-29 09:20:00+00,62.4000000000000000,49.6000000000000000,236.4000000000000000,103.2000000000000000
2026-06-29 09:25:00+00,66.0000000000000000,49.0000000000000000,199.8000000000000000,67.0000000000000000
2026-06-29 09:30:00+00,62.8000000000000000,51.2000000000000000,213.4000000000000000,59.6000000000000000
2026-06-29 09:35:00+00,61.6000000000000000,55.6000000000000000,294.2000000000000000,82.0000000000000000
2026-06-29 09:40:00+00,66.8000000000000000,55.0000000000000000,55.8000000000000000,20.4000000000000000
2026-06-29 09:45:00+00,49.0000000000000000,60.4000000000000000,205.4000000000000000,72.2000000000000000
2026-06-29 09:50:00+00,52.0000000000000000,65.2000000000000000,211.8000000000000000,46.2000000000000000
2026-06-29 09:55:00+00,56.6000000000000000,45.6000000000000000,239.4000000000000000,61.4000000000000000
2026-06-29 10:00:00+00,49.6000000000000000,59.8000000000000000,314.0000000000000000,50.4000000000000000
2026-06-29 10:05:00+00,59.4000000000000000,62.4000000000000000,28.0000000000000000,3.8000000000000000
2026-06-29 10:10:00+00,54.4000000000000000,65.4000000000000000,135.2000000000000000,66.2000000000000000
2026-06-29 10:15:00+00,83.2000000000000000,55.0000000000000000,169.4000000000000000,43.6000000000000000
2026-06-29 10:20:00+00,97.8000000000000000,40.8000000000000000,233.0000000000000000,52.8000000000000000
2026-06-29 10:25:00+00,78.2000000000000000,56.6000000000000000,211.0000000000000000,45.0000000000000000
2026-06-29 10:30:00+00,65.6000000000000000,50.0000000000000000,188.6000000000000000,54.6000000000000000
2026-06-29 10:35:00+00,55.8000000000000000,64.0000000000000000,189.8000000000000000,51.2000000000000000
2026-06-29 10:40:00+00,56.2000000000000000,59.4000000000000000,274.0000000000000000,56.0000000000000000
2026-06-29 10:45:00+00,60.6000000000000000,37.2000000000000000,52.4000000000000000,8.2000000000000000
2026-06-29 10:50:00+00,76.6000000000000000,52.8000000000000000,202.4000000000000000,73.2000000000000000
2026-06-29 10:55:00+00,60.0000000000000000,42.0000000000000000,53.6000000000000000,50.0000000000000000
2026-06-29 11:00:00+00,1.00000000000000000000,0.20000000000000000000,120.0000000000000000,10.6000000000000000
2026-06-29 11:05:00+00,18.8000000000000000,7.0000000000000000,32.4000000000000000,3.4000000000000000
2026-06-29 11:10:00+00,30.8000000000000000,15.4000000000000000,118.6000000000000000,31.6000000000000000
2026-06-29 11:15:00+00,42.0000000000000000,31.8000000000000000,158.2000000000000000,29.6000000000000000
2026-06-29 11:20:00+00,55.6000000000000000,48.0000000000000000,281.8000000000000000,54.0000000000000000
2026-06-29 11:25:00+00,82.6000000000000000,45.6000000000000000,9.8000000000000000,2.8000000000000000
2026-06-29 11:30:00+00,66.0000000000000000,38.6000000000000000,181.0000000000000000,66.8000000000000000
2026-06-29 11:35:00+00,68.0000000000000000,53.4000000000000000,326.6000000000000000,42.8000000000000000
2026-06-29 11:40:00+00,88.2000000000000000,63.2000000000000000,20.6000000000000000,2.8000000000000000
2026-06-29 11:45:00+00,101.6000000000000000,65.2000000000000000,302.2000000000000000,93.8000000000000000
2026-06-29 11:50:00+00,74.4000000000000000,66.6000000000000000,61.8000000000000000,9.4000000000000000
2026-06-29 11:55:00+00,85.4000000000000000,70.6000000000000000,147.6000000000000000,85.0000000000000000
2026-06-29 12:00:00+00,79.0000000000000000,58.0000000000000000,373.8000000000000000,53.2000000000000000
2026-06-29 12:05:00+00,76.8000000000000000,51.6000000000000000,22.0000000000000000,2.4000000000000000
2026-06-29 12:10:00+00,87.4000000000000000,59.2000000000000000,225.0000000000000000,106.8000000000000000
2026-06-29 12:15:00+00,76.6000000000000000,49.0000000000000000,310.2000000000000000,51.2000000000000000
2026-06-29 12:20:00+00,74.2000000000000000,48.2000000000000000,70.6000000000000000,9.4000000000000000
2026-06-29 12:25:00+00,56.0000000000000000,52.2000000000000000,361.0000000000000000,90.4000000000000000
2026-06-29 12:30:00+00,79.2000000000000000,59.6000000000000000,83.2000000000000000,18.0000000000000000
2026-06-29 12:35:00+00,73.0000000000000000,74.4000000000000000,325.6000000000000000,74.6000000000000000
2026-06-29 12:40:00+00,76.4000000000000000,63.0000000000000000,118.4000000000000000,19.6000000000000000
2026-06-29 12:45:00+00,82.8000000000000000,63.2000000000000000,386.6000000000000000,80.8000000000000000
2026-06-29 12:50:00+00,87.6000000000000000,54.2000000000000000,62.0000000000000000,19.0000000000000000
2026-06-29 12:55:00+00,78.4000000000000000,57.2000000000000000,352.6000000000000000,96.4000000000000000
2026-06-29 13:00:00+00,66.2000000000000000,62.0000000000000000,84.0000000000000000,18.6000000000000000
2026-06-29 13:05:00+00,73.6000000000000000,53.2000000000000000,377.4000000000000000,93.6000000000000000
2026-06-29 13:10:00+00,96.6000000000000000,54.8000000000000000,64.8000000000000000,17.4000000000000000
2026-06-29 13:15:00+00,95.8000000000000000,72.8000000000000000,402.8000000000000000,116.8000000000000000
2026-06-29 13:20:00+00,90.6000000000000000,87.2000000000000000,61.2000000000000000,17.2000000000000000
2026-06-29 13:25:00+00,86.2000000000000000,57.8000000000000000,412.2000000000000000,97.0000000000000000
2026-06-29 13:30:00+00,130.0000000000000000,49.8000000000000000,84.8000000000000000,20.2000000000000000
2026-06-29 13:35:00+00,114.0000000000000000,79.8000000000000000,393.4000000000000000,116.6000000000000000
2026-06-29 13:40:00+00,77.6000000000000000,67.2000000000000000,92.2000000000000000,14.0000000000000000
2026-06-29 13:45:00+00,90.4000000000000000,54.8000000000000000,408.0000000000000000,109.8000000000000000
2026-06-29 13:50:00+00,85.4000000000000000,70.0000000000000000,111.4000000000000000,19.0000000000000000
2026-06-29 13:55:00+00,85.8000000000000000,95.4000000000000000,362.2000000000000000,150.0000000000000000
2026-06-29 14:00:00+00,87.0000000000000000,71.0000000000000000,131.2000000000000000,30.6000000000000000
2026-06-29 14:05:00+00,101.8000000000000000,62.8000000000000000,463.0000000000000000,124.4000000000000000
2026-06-29 14:10:00+00,113.8000000000000000,72.6000000000000000,86.0000000000000000,44.2000000000000000
2026-06-29 14:15:00+00,109.4000000000000000,67.8000000000000000,348.4000000000000000,185.4000000000000000
2026-06-29 14:20:00+00,98.2000000000000000,77.2000000000000000,99.2000000000000000,15.4000000000000000
2026-06-29 14:25:00+00,92.4000000000000000,86.0000000000000000,430.8000000000000000,108.0000000000000000
2026-06-29 14:30:00+00,79.4000000000000000,67.4000000000000000,74.8000000000000000,21.6000000000000000
2026-06-29 14:35:00+00,90.8000000000000000,72.4000000000000000,403.6000000000000000,150.8000000000000000
2026-06-29 14:40:00+00,90.6000000000000000,70.2000000000000000,80.6000000000000000,23.8000000000000000
2026-06-29 14:45:00+00,90.2000000000000000,94.0000000000000000,336.0000000000000000,122.0000000000000000
2026-06-29 14:50:00+00,101.6000000000000000,79.2000000000000000,91.4000000000000000,26.4000000000000000
2026-06-29 14:55:00+00,90.8000000000000000,98.0000000000000000,440.4000000000000000,105.2000000000000000
2026-06-29 15:00:00+00,79.6000000000000000,82.4000000000000000,101.6000000000000000,18.4000000000000000
2026-06-29 15:05:00+00,78.4000000000000000,72.4000000000000000,488.6000000000000000,136.8000000000000000
2026-06-29 15:10:00+00,93.4000000000000000,100.0000000000000000,107.4000000000000000,15.4000000000000000
2026-06-29 15:15:00+00,88.6000000000000000,87.4000000000000000,234.4000000000000000,185.2000000000000000
2026-06-29 15:20:00+00,114.8000000000000000,83.8000000000000000,250.6000000000000000,99.8000000000000000
2026-06-29 15:25:00+00,141.0000000000000000,67.8000000000000000,417.4000000000000000,76.4000000000000000
2026-06-29 15:30:00+00,134.0000000000000000,114.2000000000000000,142.6000000000000000,25.8000000000000000
2026-06-29 15:35:00+00,145.2000000000000000,98.0000000000000000,289.4000000000000000,107.8000000000000000
2026-06-29 15:40:00+00,120.2000000000000000,98.6000000000000000,265.8000000000000000,78.4000000000000000
2026-06-29 15:45:00+00,82.6000000000000000,113.4000000000000000,264.4000000000000000,76.4000000000000000
2026-06-29 15:50:00+00,115.0000000000000000,125.2000000000000000,261.8000000000000000,84.8000000000000000
2026-06-29 15:55:00+00,129.2000000000000000,96.6000000000000000,309.2000000000000000,99.2000000000000000
