period start,updates/m,creations/m,sales/m
2026-04-26 10:00:00+00,77.8000000000000000,61.8000000000000000,237.0000000000000000
2026-04-26 10:05:00+00,47.8000000000000000,89.0000000000000000,235.4000000000000000
2026-04-26 10:10:00+00,66.2000000000000000,88.2000000000000000,216.0000000000000000
2026-04-26 10:15:00+00,82.4000000000000000,77.4000000000000000,223.4000000000000000
2026-04-26 10:20:00+00,93.0000000000000000,74.4000000000000000,246.0000000000000000
2026-04-26 10:25:00+00,109.6000000000000000,84.8000000000000000,282.8000000000000000
2026-04-26 10:30:00+00,107.8000000000000000,82.6000000000000000,251.8000000000000000
2026-04-26 10:35:00+00,125.2000000000000000,100.6000000000000000,238.4000000000000000
2026-04-26 10:40:00+00,119.8000000000000000,90.4000000000000000,315.6000000000000000
2026-04-26 10:45:00+00,109.4000000000000000,81.2000000000000000,312.8000000000000000
2026-04-26 10:50:00+00,105.0000000000000000,68.4000000000000000,254.0000000000000000
2026-04-26 10:55:00+00,115.2000000000000000,110.8000000000000000,47.4000000000000000
2026-04-26 11:00:00+00,2.4000000000000000,1.2000000000000000,46.4000000000000000
2026-04-26 11:05:00+00,28.8000000000000000,21.4000000000000000,139.0000000000000000
2026-04-26 11:10:00+00,48.4000000000000000,37.8000000000000000,247.0000000000000000
2026-04-26 11:15:00+00,73.4000000000000000,48.6000000000000000,181.6000000000000000
2026-04-26 11:20:00+00,71.2000000000000000,50.0000000000000000,261.6000000000000000
2026-04-26 11:25:00+00,63.8000000000000000,63.8000000000000000,223.6000000000000000
2026-04-26 11:30:00+00,47.6000000000000000,65.4000000000000000,258.4000000000000000
2026-04-26 11:35:00+00,73.6000000000000000,59.6000000000000000,287.6000000000000000
2026-04-26 11:40:00+00,71.6000000000000000,68.2000000000000000,271.0000000000000000
2026-04-26 11:45:00+00,76.6000000000000000,60.4000000000000000,238.0000000000000000
2026-04-26 11:50:00+00,103.2000000000000000,67.8000000000000000,289.6000000000000000
2026-04-26 11:55:00+00,115.0000000000000000,93.4000000000000000,275.4000000000000000
2026-04-26 12:00:00+00,104.6000000000000000,73.6000000000000000,276.0000000000000000
