date	total	AS_sumValue	HS_sumValue	JS_sumValue	LS_sumValue	NS_sumValue	PS_sumValue	WS_sumValue
2023-03	453518	20205.18	4687029.12	3.80	8392308.86	17801852.39	833686.39	6375461.59
2023-04	403907	16225.27	4200897.16	0	7854402.79	17217918.79	790592.12	5331767.64
2023-05	397960	9348.13	5616195.58	0	9198588.58	16394364.68	1159863.96	5550105.27
2023-06	388710	16823.30	4996498.89	0	7334471.17	13954454.81	1771642.95	5400996.21
2023-07	425831	19511.40	3763820.27	0	7137444.37	16431968.95	2175364.30	5765475.39
2023-08	379679	19335.51	4529296.66	445877.95	6866841.92	18506735.11	1577350.88	5948571.92
2023-09	390483	14454.42	3579162.81	94.35	7045383.59	16230171.69	1457994.58	5585356.31
2023-10	439692	16471.64	7619793.66	0	10679547.14	18870789.44	1518358.44	6253510.17
2023-11	563310	24630.55	7873542.69	0	10643385.51	21609443.32	1625341.31	6931271.09
2023-12	473970	19396.40	6448686.04	0	13779605.40	17731858.04	1471731.95	6641810.11
