"period start","updates/m","creations/m","sales/m","deletions/m","total/m"
"2026-04-19 09:00:00+00",121.8000000000000000,76.4000000000000000,278.6000000000000000,71.4000000000000000,548.2000000000000000
"2026-04-19 09:05:00+00",119.8000000000000000,92.6000000000000000,284.6000000000000000,60.6000000000000000,557.6000000000000000
"2026-04-19 09:10:00+00",121.4000000000000000,83.2000000000000000,264.2000000000000000,61.0000000000000000,529.8000000000000000
"2026-04-19 09:15:00+00",77.8000000000000000,71.0000000000000000,252.4000000000000000,76.0000000000000000,477.2000000000000000
"2026-04-19 09:20:00+00",119.2000000000000000,82.0000000000000000,247.6000000000000000,94.4000000000000000,543.2000000000000000
"2026-04-19 09:25:00+00",110.2000000000000000,76.0000000000000000,250.4000000000000000,77.0000000000000000,513.6000000000000000
"2026-04-19 09:30:00+00",102.6000000000000000,80.2000000000000000,279.6000000000000000,75.6000000000000000,538.0000000000000000
"2026-04-19 09:35:00+00",111.0000000000000000,93.4000000000000000,317.0000000000000000,69.2000000000000000,590.6000000000000000
"2026-04-19 09:40:00+00",127.6000000000000000,89.6000000000000000,254.0000000000000000,77.6000000000000000,548.8000000000000000
"2026-04-19 09:45:00+00",94.2000000000000000,86.8000000000000000,276.4000000000000000,83.0000000000000000,540.4000000000000000
"2026-04-19 09:50:00+00",87.0000000000000000,88.6000000000000000,225.0000000000000000,106.6000000000000000,507.2000000000000000
"2026-04-19 09:55:00+00",93.2000000000000000,81.2000000000000000,277.8000000000000000,70.2000000000000000,522.4000000000000000
"2026-04-19 10:00:00+00",98.2000000000000000,93.8000000000000000,236.8000000000000000,67.0000000000000000,495.8000000000000000
"2026-04-19 10:05:00+00",128.6000000000000000,98.6000000000000000,231.0000000000000000,70.4000000000000000,528.6000000000000000
"2026-04-19 10:10:00+00",117.2000000000000000,81.0000000000000000,230.0000000000000000,65.8000000000000000,494.0000000000000000
"2026-04-19 10:15:00+00",129.4000000000000000,71.6000000000000000,237.6000000000000000,57.8000000000000000,496.4000000000000000
"2026-04-19 10:20:00+00",126.4000000000000000,71.4000000000000000,269.6000000000000000,70.4000000000000000,537.8000000000000000
"2026-04-19 10:25:00+00",95.0000000000000000,84.0000000000000000,299.6000000000000000,62.0000000000000000,540.6000000000000000
"2026-04-19 10:30:00+00",129.2000000000000000,84.4000000000000000,247.6000000000000000,86.8000000000000000,548.0000000000000000
"2026-04-19 10:35:00+00",115.6000000000000000,81.2000000000000000,291.2000000000000000,79.6000000000000000,567.6000000000000000
"2026-04-19 10:40:00+00",102.8000000000000000,72.4000000000000000,260.0000000000000000,101.6000000000000000,536.8000000000000000
"2026-04-19 10:45:00+00",128.8000000000000000,83.6000000000000000,300.4000000000000000,65.0000000000000000,577.8000000000000000
"2026-04-19 10:50:00+00",109.0000000000000000,102.0000000000000000,332.8000000000000000,71.8000000000000000,615.6000000000000000
"2026-04-19 10:55:00+00",122.6000000000000000,84.0000000000000000,70.4000000000000000,93.4000000000000000,370.4000000000000000
"2026-04-19 11:00:00+00",83.8000000000000000,2.4000000000000000,67.6000000000000000,2800.8000000000000000,2954.6000000000000000
"2026-04-19 11:05:00+00",360.0000000000000000,21.6000000000000000,152.6000000000000000,16.4000000000000000,550.6000000000000000
"2026-04-19 11:10:00+00",106.2000000000000000,68.0000000000000000,195.6000000000000000,53.8000000000000000,423.6000000000000000
