"type_id","name","daily_upd","daily_creat","update_pct"
13919,"Domination Rapid Light Missile Launcher","   16.38","    3.50","  82.39"
23132,"Yan Jung Tachyon Stetoscope","   33.88","    7.25","  82.37"
16064,"Caldari Navy Heavy Missile Launcher","   56.63","   12.13","  82.36"
40661,"Capital Infectious Scoped Energy Neutralizer","   46.63","   10.00","  82.34"
3239,"Inherent Implants 'Squire' Capacitor Management EM-806","   46.00","    9.88","  82.33"
14148,"Dark Blood Small Energy Nosferatu","   16.88","    3.63","  82.32"
19329,"Core A-Type 500MN Microwarpdrive","   14.50","    3.13","  82.27"
28795,"Mid-grade Centurion Omega","   13.25","    2.88","  82.17"
15898,"Caldari Navy Small Shield Booster","   32.25","    7.00","  82.17"
31918,"Federation Navy 800mm Steel Plates","  106.25","   23.13","  82.13"
3127,"Zainou 'Deadeye' Guided Missile Precision GP-806","   30.38","    6.63","  82.09"
19351,"Gistum A-Type 50MN Microwarpdrive","   28.50","    6.25","  82.01"
27114,"Eifyr and Co. 'Rogue' Warp Drive Speed WS-615","   21.00","    4.63","  81.95"
3534,"CONCORD Capital Armor Repairer","   68.75","   15.25","  81.85"
27924,"Void Bomb","   28.13","    6.25","  81.82"
3238,"Inherent Implants 'Squire' Capacitor Management EM-804","   19.13","    4.25","  81.82"
20595,"'Gallows' Light Missile Launcher","   15.13","    3.38","  81.76"
31414,"Medium Semiconductor Memory Cell II","   33.50","    7.50","  81.71"
85662,"Glorified Unstable Gyrostabilizer Mutaplasmid","   24.00","    5.38","  81.70"
37482,"Stork","   34.00","    7.63","  81.68"
37457,"Deacon","   47.88","   10.75","  81.66"
19037,"Core A-Type Large Armor Repairer","   17.25","    3.88","  81.66"
76488,"Vargur GalNet StreamCast Unit SKIN","   25.00","    5.63","  81.63"
31622,"Medium Warhead Calefaction Catalyst I","   18.88","    4.25","  81.62"
29622,"Guristas Mjolnir XL Torpedo","   14.38","    3.25","  81.56"
37299,"Dual Giga Beam Laser II","   13.25","    3.00","  81.54"
3266,"Zainou 'Gypsy' CPU Management EE-604","   22.00","    5.00","  81.48"
31810,"Small Core Defense Field Purger II","   18.13","    4.13","  81.46"
3095,"Eifyr and Co. 'Rogue' Evasive Maneuvering EM-706","   46.00","   10.50","  81.42"
31604,"Small Hydraulic Bay Thrusters II","   39.88","    9.13","  81.38"
53301,"Tetryon Exotic Plasma XL","   50.75","   11.63","  81.36"
76494,"Gnosis GalNet StreamCast Unit SKIN","   33.25","    7.63","  81.35"
19266,"Pith B-Type EM Shield Hardener","   21.25","    4.88","  81.34"
45610,"Legion Propulsion - Interdiction Nullifier","   15.25","    3.50","  81.33"
85641,"Glorified Unstable Warp Disruptor Mutaplasmid","   21.75","    5.00","  81.31"
33712,"Light Hull Maintenance Bot II","   14.13","    3.25","  81.29"
60461,"Exigent Light Drone Firepower Mutaplasmid","   61.75","   14.25","  81.25"
92467,"Stellate TD-300-I","  105.88","   24.50","  81.21"
33337,"Promethium Mercurite","   18.88","    4.38","  81.18"
47360,"Standup Layered Armor Plating I","   14.00","    3.25","  81.16"
28799,"Mid-grade Nomad Epsilon","   44.13","   10.25","  81.15"
45612,"Legion Propulsion - Wake Limiter","   47.88","   11.13","  81.14"
47336,"Standup Focused Warp Scrambling Script","   14.50","    3.38","  81.12"
85558,"Glorified Unstable Stasis Webifier Mutaplasmid","   18.25","    4.25","  81.11"
11538,"Nanomechanical Microprocessor","   42.88","   10.00","  81.09"
19688,"Eifyr and Co. 'Gunslinger' Large Projectile Turret LP-1005","   16.00","    3.75","  81.01"
45604,"Proteus Offensive - Hybrid Encoding Platform","   44.63","   10.50","  80.95"
81050,"Upwell Starship Engineering","   15.75","    3.75","  80.77"
33453,"Dread Guristas Rapid Heavy Missile Launcher","   28.25","    6.75","  80.71"
92037,"Mosquito EV-600-I","   51.25","   12.25","  80.71"
18963,"Core B-Type Thermal Armor Hardener","   14.63","    3.50","  80.69"
40553,"Gram II","   32.38","    7.75","  80.69"
31748,"Medium Kinetic Shield Reinforcer II","   18.25","    4.38","  80.66"
23035,"Caldari Navy Iridium Charge M","   45.13","   10.88","  80.58"
43894,"Small Command Processor I","   18.13","    4.38","  80.56"
14112,"Shadow Serpentis 1MN Afterburner","   23.25","    5.63","  80.52"
31111,"Small Auxiliary Thrusters II","   28.38","    6.88","  80.50"
15907,"Republic Fleet Shield Boost Amplifier","   20.63","    5.00","  80.49"
27108,"Zainou 'Snapshot' Light Missiles LM-903","   29.88","    7.25","  80.47"
63195,"Standup Flak Round I","   13.38","    3.25","  80.45"
31736,"Medium Explosive Shield Reinforcer II","   34.88","    8.50","  80.40"
23525,"Curator I","   25.13","    6.13","  80.40"
18779,"Coreli B-Type Multispectrum Coating","   15.88","    3.88","  80.38"
56202,"Athanor Upwell Quantum Core","   16.88","    4.13","  80.36"
19109,"Corpum B-Type Medium Energy Nosferatu","   18.38","    4.50","  80.33"
3989,"Large Plasma Smartbomb II","   25.00","    6.13","  80.32"
31280,"Small Ionic Field Projector II","   37.75","    9.25","  80.32"
92466,"Atlas SD-900-I","   45.38","   11.13","  80.31"
31824,"Medium Core Defense Operational Solidifier II","   61.63","   15.13","  80.29"
31726,"Capital EM Shield Reinforcer II","   21.38","    5.25","  80.28"
23093,"Imperial Navy Xray M","   25.38","    6.25","  80.24"
60300,"Complex Asteroid Mining Crystal Type A II","   17.75","    4.38","  80.23"
3001,"Dual Light Pulse Laser II","   13.13","    3.25","  80.15"
92038,"Tabanida EV-900-I","   44.38","   11.00","  80.14"
11544,"Titanium Diborite Armor Plate","   32.75","    8.13","  80.12"
13941,"Dark Blood Heat Sink","   68.50","   17.00","  80.12"
31906,"Federation Navy 200mm Steel Plates","   57.38","   14.25","  80.10"
3049,"Mega Beam Laser II","   68.25","   17.00","  80.06"
19223,"Pithum B-Type EM Shield Amplifier","   94.50","   23.63","  80.00"
14084,"True Sansha Explosive Energized Membrane","   24.50","    6.13","  80.00"
25956,"Large Ancillary Current Router I","   18.50","    4.63","  80.00"
11387,"Hyena","   23.88","    6.00","  79.92"
26068,"Large Hyperspatial Velocity Optimizer I","   23.38","    5.88","  79.91"
26288,"Large Explosive Armor Reinforcer II","   14.88","    3.75","  79.87"
31486,"Medium Energy Locus Coordinator II","   26.75","    6.75","  79.85"
19087,"Centum A-Type Medium Remote Capacitor Transmitter","   24.25","    6.13","  79.84"
30752,"Intact Hull Section","   21.25","    5.38","  79.81"
34306,"Large Higgs Anchor I","   27.63","    7.00","  79.78"
54775,"BlastShot Condenser Pack M","   42.63","   10.88","  79.67"
40570,"Siren II","   19.50","    5.00","  79.59"
13925,"Domination Light Missile Launcher","   14.63","    3.75","  79.59"
81066,"Metaprismatic Armor Plate","   13.63","    3.50","  79.56"
11543,"Tungsten Carbide Armor Plate","   53.50","   13.75","  79.55"
23130,"Yan Jung Thunder Kite","   26.75","    6.88","  79.55"
47366,"Standup Target Painter II","   20.38","    5.25","  79.51"
62535,"Compressed Omber IV-Grade","   18.38","    4.75","  79.46"
14142,"Dark Blood Cap Recharger","   48.13","   12.50","  79.38"
23156,"Serpentis 3D Scanner Gamut","   21.63","    5.63","  79.36"
56069,"Proximity-15 'Extraction' Filament","   74.00","   19.25","  79.36"
